Month,Bananas,Navel Oranges,White Bread,Tomatoes,Whole Chicken,Eggs,Ground Beef,Milk
Jan 2015,0.583,1.195,1.479,2.089,1.546,2.113,4.375,3.758
Feb 2015,0.591,1.185,1.435,1.849,1.55,2.088,4.403,3.496
Mar 2015,0.593,1.201,1.44,1.819,1.545,2.133,4.364,3.463
Apr 2015,0.597,1.165,1.454,1.847,1.539,2.065,4.323,3.397
May 2015,0.582,1.208,1.463,1.74,1.483,1.962,4.308,3.387
June 2015,0.574,1.274,1.467,1.708,1.515,2.57,4.324,3.366
July 2015,0.581,1.38,1.447,1.777,1.487,2.57,4.266,3.43
Aug 2015,0.58,1.493,1.42,1.737,1.428,2.943,4.222,3.389
Sept 2015,0.58,1.48,1.432,1.775,1.415,2.966,4.195,3.392
Oct 2015,0.577,1.514,1.418,1.844,1.43,2.808,4.119,3.338
Nov 2015,0.575,1.329,1.409,1.977,1.484,2.664,4.082,3.299
Dec 2015,0.58,1.229,1.428,1.932,1.437,2.751,4.025,3.31
Jan 2016,0.581,1.196,1.425,2.528,1.429,2.328,4.019,3.313
Feb 2016,0.573,1.194,1.407,2.316,1.478,2.267,3.945,3.23
Mar 2016,0.586,1.188,1.416,1.941,1.463,2.081,3.929,3.187
Apr 2016,0.574,1.176,1.406,1.862,1.496,1.793,3.933,3.155
May 2016,0.57,1.148,1.382,1.695,1.489,1.684,3.902,3.157
June 2016,0.569,1.186,1.333,1.709,1.408,1.491,3.84,3.115
July 2016,0.567,1.268,1.349,1.635,1.445,1.546,3.807,3.062
Aug 2016,0.562,1.365,1.341,1.685,1.426,1.455,3.912,3.141
Sept 2016,0.575,1.41,1.329,1.786,1.487,1.471,3.791,3.229
Oct 2016,0.57,1.412,1.343,1.994,1.502,1.39,3.742,3.292
Nov 2016,0.573,1.239,1.362,1.984,1.478,1.321,3.703,3.28
Dec 2016,0.576,1.169,1.362,1.972,1.463,1.383,3.619,3.29
Jan 2017,0.573,1.186,1.351,2.048,1.418,1.599,3.621,3.318
Feb 2017,0.573,1.191,1.358,1.93,1.473,1.464,3.549,3.3
Mar 2017,0.571,1.18,1.329,1.943,1.462,1.404,3.59,3.315
Apr 2017,0.571,1.174,1.328,1.902,1.444,1.409,3.675,3.259
May 2017,0.564,1.226,1.327,1.867,1.499,1.414,3.645,3.242
June 2017,0.572,1.346,1.335,1.873,1.497,1.332,3.768,3.213
July 2017,0.565,1.462,1.327,1.952,1.496,1.333,3.866,3.219
Aug 2017,0.561,1.453,1.348,1.846,1.489,1.367,3.785,3.168
Sept 2017,0.544,1.48,1.349,1.828,1.48,1.422,3.801,3.209
Oct 2017,0.548,1.59,1.328,1.813,1.484,1.54,3.703,3.158
Nov 2017,0.551,1.486,1.295,1.933,1.451,1.506,3.775,3.15
Dec 2017,0.558,1.315,1.316,2.237,1.47,1.815,3.729,3.155
Jan 2018,0.568,1.326,1.281,2.336,1.509,1.769,3.668,2.961
Feb 2018,0.574,1.339,1.265,2.026,1.478,1.755,3.659,2.923
Mar 2018,0.582,1.305,1.309,1.868,1.502,1.831,3.728,2.903
Apr 2018,0.578,1.291,1.281,1.802,1.511,2.081,3.775,2.924
May 2018,0.575,1.348,1.293,1.675,1.523,1.987,3.688,2.919
June 2018,0.575,1.409,1.279,1.706,1.514,1.628,3.824,2.877
July 2018,0.575,1.538,1.293,1.887,1.519,1.725,3.786,2.839
Aug 2018,0.569,1.559,1.302,1.737,1.511,1.622,3.738,2.871
Sept 2018,0.573,1.511,1.288,1.826,1.487,1.651,3.701,2.89
Oct 2018,0.574,1.502,1.277,1.901,1.444,1.66,3.692,2.913
Nov 2018,0.566,1.437,1.274,2.057,1.501,1.596,3.745,2.877
Dec 2018,0.577,1.389,1.29,2.175,1.466,1.595,3.709,2.853
Jan 2019,0.576,1.344,1.274,2.227,1.473,1.554,3.727,2.913
Feb 2019,0.571,1.298,1.282,2.068,1.486,1.557,3.847,2.9
Mar 2019,0.581,1.346,1.261,2.079,1.468,1.544,3.831,2.944
Apr 2019,0.567,1.28,1.285,1.947,1.463,1.463,3.907,2.98
May 2019,0.579,1.331,1.289,1.823,1.479,1.362,4.023,2.963
June 2019,0.574,1.296,1.28,1.812,1.59,1.203,3.951,3.054
July 2019,0.569,1.411,1.281,1.799,1.562,1.243,4.001,3.031
Aug 2019,0.578,1.442,1.275,1.864,1.514,1.219,4.019,3.045
Sept 2019,0.569,1.426,1.296,1.911,1.487,1.383,3.885,3.102
Oct 2019,0.573,1.47,1.325,1.779,1.538,1.282,4.027,3.119
Nov 2019,0.573,1.429,1.361,1.903,1.43,1.405,3.993,3.189
Dec 2019,0.573,1.327,1.363,1.954,1.45,1.535,4.066,3.188
Jan 2020,0.57,1.244,1.351,2.221,1.409,1.461,4.1,3.253
Feb 2020,0.574,1.218,1.375,2.197,1.362,1.449,4.033,3.196
Mar 2020,0.576,1.174,1.374,,1.4,1.525,4.108,3.248
Apr 2020,0.581,,1.406,,1.571,2.019,4.343,3.267
May 2020,0.589,1.209,1.412,1.851,,1.64,4.789,3.21
June 2020,0.588,1.296,1.474,1.922,1.747,1.554,5.33,3.198
July 2020,0.58,,1.485,1.977,1.712,1.401,4.732,3.255
Aug 2020,0.576,,1.495,1.874,1.609,1.328,4.307,3.406
Sept 2020,0.574,,1.492,1.847,1.542,1.353,4.165,3.448
Oct 2020,0.577,,1.503,1.911,1.58,1.408,4.212,3.38
Nov 2020,0.578,,1.515,1.935,1.639,1.45,4.33,3.425
Dec 2020,0.572,1.329,1.538,1.893,1.621,1.481,4.202,3.535
Jan 2021,0.597,1.303,1.546,1.928,1.595,1.466,4.31,3.468
Feb 2021,0.59,1.321,1.537,1.838,1.583,1.597,4.252,3.368
Mar 2021,0.594,1.266,1.526,1.768,1.543,1.625,4.377,3.348
Apr 2021,0.604,1.32,1.51,1.786,1.515,1.62,4.29,3.447
May 2021,0.6,1.317,1.511,1.804,1.486,1.625,4.495,3.497
June 2021,0.595,1.354,1.51,1.83,1.474,1.642,4.565,3.557
July 2021,0.594,,1.491,1.827,1.435,1.642,4.521,3.627
Aug 2021,0.589,,1.467,1.858,1.472,1.709,4.636,3.56
Sept 2021,0.597,,1.58,1.828,1.504,1.835,4.786,3.585
Oct 2021,0.6,1.49,1.526,1.892,1.523,1.821,4.869,3.663
Nov 2021,0.619,1.44,1.547,1.924,1.583,1.718,4.81,3.671
Dec 2021,0.622,1.448,1.532,1.906,1.606,1.788,4.792,3.743
Jan 2022,0.63,1.427,1.555,1.892,1.622,1.929,4.765,3.787
Feb 2022,0.628,1.445,1.578,1.826,1.632,2.005,4.627,3.875
Mar 2022,0.642,1.48,1.607,1.827,1.724,2.046,4.87,3.917
Apr 2022,0.637,1.505,1.612,1.794,1.794,2.52,4.945,4.012
May 2022,0.642,1.546,1.606,1.819,1.824,2.863,4.894,4.204
June 2022,0.64,1.6,1.691,1.842,1.826,2.707,4.997,4.153
July 2022,0.64,,1.715,1.842,1.88,2.936,5.075,4.156
Aug 2022,0.643,1.703,1.756,1.89,1.879,3.116,5.12,4.194
Sept 2022,0.643,1.73,1.749,1.901,1.891,2.902,4.89,4.181
Oct 2022,0.634,1.73,1.814,1.974,1.863,3.419,4.789,4.184
Nov 2022,0.631,1.641,1.847,2.107,1.843,3.589,4.728,4.218
Dec 2022,0.628,1.485,1.873,2.228,1.83,4.25,4.758,4.211
Jan 2023,0.639,1.514,1.888,2.11,1.855,4.823,4.644,4.204
Feb 2023,0.641,1.549,1.896,1.99,1.894,4.211,4.777,4.163
Mar 2023,0.632,1.509,1.936,1.932,1.868,3.446,4.753,4.098
Apr 2023,0.635,1.53,1.989,1.874,1.873,3.27,4.747,4.042
May 2023,0.628,1.512,1.951,1.798,1.92,2.666,4.953,4.042
June 2023,0.625,1.535,1.937,1.911,1.953,2.219,5.106,3.985
July 2023,0.631,1.591,1.98,1.896,1.891,2.094,5.253,3.971
Aug 2023,0.631,1.623,1.97,1.877,1.958,2.043,5.259,3.927
Sept 2023,0.625,1.637,1.972,1.844,1.901,2.065,5.185,3.965
Oct 2023,0.626,1.693,2.002,1.865,1.926,2.072,5.349,3.927
Nov 2023,0.627,1.664,1.976,1.942,1.976,2.138,5.201,3.997
Dec 2023,0.625,1.601,2.024,1.995,1.955,2.507,5.118,4.008
Jan 2024,0.617,1.55,2.033,2.146,1.987,2.522,5.093,3.958
Feb 2024,0.625,1.532,2.006,2.132,1.951,2.996,5.213,3.94
Mar 2024,0.629,1.516,1.997,2.044,1.991,2.992,5.421,3.893
Apr 2024,0.626,1.475,1.998,1.962,1.953,2.864,5.277,3.868
May 2024,0.622,1.545,1.971,1.859,2.013,2.699,5.331,3.864
June 2024,0.625,1.582,1.973,1.843,2.007,2.715,5.364,3.956
July 2024,0.613,1.627,1.975,1.945,1.988,3.08,5.47,3.983
Aug 2024,0.612,1.728,1.951,1.996,1.988,3.204,5.638,4.044
Sept 2024,0.617,1.733,1.976,1.936,1.979,3.821,5.576,4.021
Oct 2024,0.619,1.805,1.937,1.98,1.987,3.37,5.586,4.041
Nov 2024,0.622,1.729,1.916,2.03,2.076,3.649,5.605,4.138
Dec 2024,0.615,1.564,1.912,2.067,2.061,4.146,5.576,4.101
Jan 2025,0.621,1.531,1.925,2.05,2.061,4.953,5.495,4.025